name,price,weight,brand,link
Сыр плавленый Карат С луком для супа 45% 90 г,69руб/шт,90 г,Карат,https://vkusvill.ru//goods/syr-plavlenyy-karat-s-lukom-dlya-supa-45-90-g-76867.html
Сыр Laplandia Сливочный 45% полутвердый нарезка 130 г,239руб/шт,130 г,Laplandia,https://vkusvill.ru//goods/syr-laplandia-slivochnyy-45-polutverdyy-narezka-130-g-70728.html
Сыр Laime Пармезан 6 месяцев 40% колотый 125 г,445руб/шт,125 г,Laime,https://vkusvill.ru//goods/syr-laime-parmezan-6-mesyatsev-40-kolotyy-125-g-104749.html
Сыр Felicita Моцарелла mini 45% 120 г,217руб/шт,120 г,Felicita,https://vkusvill.ru//goods/syr-felicita-motsarella-mini-45-120-g-62873.html
Сыр творожный Almette с огурцами и зеленью 60% 150 г,219руб/шт,150 г,Альметте,https://vkusvill.ru//goods/syr-tvorozhnyy-almette-s-ogurtsami-i-zelenyu-60-150-g-92872.html
Сыр мягкий Galbani Буррата 50% 125 г,395руб/шт,125 г,Galbani,https://vkusvill.ru//goods/syr-myagkiy-galbani-burrata-50-125-g-65230.html
Сыр Excelsior Sardo 45% твердый 180 г,279руб/шт,180 г,Excelsior,https://vkusvill.ru//goods/syr-excelsior-sardo-45-tverdyy-180-g-104605.html
Сыр творожный President с наполнителем Овощи на гриле 54% 140 г,165руб/шт,140 г,President,https://vkusvill.ru//goods/syr-tvorozhnyy-president-s-napolnitelem-ovoshchi-na-grile-54-140-g-79076.html
Сыр плавленый President Маасдам 40% 150 г,159руб/шт,150 г,President,https://vkusvill.ru//goods/syr-plavlenyy-president-maasdam-40-150-g-65237.html
Сыр рассольный President Чечил белый соломка 35% 150 г,295руб/шт,150 г,President,https://vkusvill.ru//goods/syr-rassolnyy-president-chechil-belyy-solomka-35-150-g-102743.html
Сыр Oldenburger с грецким орехом 45% 350 г,529руб/шт,350 г,Oldenburger,https://vkusvill.ru//goods/syr-oldenburger-s-gretskim-orekhom-45-350-g-95843.html
Сыр мягкий President Бри с белой плесенью 60% 200 г,525руб/шт,200 г,President,https://vkusvill.ru//goods/syr-myagkiy-president-bri-s-beloy-plesenyu-60-200-g-32070.html
Сыр плавленый Viola с лисичками 50% 200 г,279руб/шт,200 г,Viola,https://vkusvill.ru//goods/syr-plavlenyy-viola-s-lisichkami-50-200-g-54808.html
Сыр плавленый President с ветчиной 45% 400 г,339руб/шт,400 г,President,https://vkusvill.ru//goods/syr-plavlenyy-president-s-vetchinoy-45-400-g-32073.html
Сыр мягкий President Royal bleu c голубой плесенью 55% 125 г,385руб/шт,125 г,President,https://vkusvill.ru//goods/syr-myagkiy-president-royal-bleu-c-goluboy-plesenyu-55-125-g-102732.html
Сыр плавленый Карат Шоколадный десертный 30% 230 г,189руб/шт,230 г,Карат,https://vkusvill.ru//goods/syr-plavlenyy-karat-shokoladnyy-desertnyy-30-230-g-76872.html
Сыр рассольный Sveza Фета Нежная 45% контейнер 250 г,209руб/шт,250 г,Sveza,https://vkusvill.ru//goods/syr-rassolnyy-sveza-feta-nezhnaya-45-konteyner-250-g-100585.html
Сыр Burenka Club Пармезан 40% твердый 125 г,319руб/шт,125 г,Burenka Club,https://vkusvill.ru//goods/syr-burenka-club-parmezan-40-tverdyy-125-g-104838.html
Сыр Кремчиз Bonfesto 70% сливочный 500 г,439руб/шт,500 г,Bonfesto,https://vkusvill.ru//goods/syr-kremchiz-bonfesto-70-slivochnyy-500-g-46600.html
Сыр ЭкоНива Dürr Classic 50% твердый 6 месяцев выдержки 200 г,445руб/шт,200 г,ЭкоНива,https://vkusvill.ru//goods/syr-ekoniva-d-rr-classic-50-tverdyy-6-mesyatsev-vyderzhki-200-g-104319.html
Сыр ЭкоНива Momente aus Schollbrunn 50% полутвердый 200 г,265руб/шт,200 г,ЭкоНива,https://vkusvill.ru//goods/syr-ekoniva-momente-aus-schollbrunn-50-polutverdyy-200-g-104318.html
Сыр Моцарелла протеиновая Unagrande палочки без лактозы 35% 120 г,235руб/шт,120 г,Unagrande,https://vkusvill.ru//goods/syr-motsarella-proteinovaya-unagrande-palochki-bez-laktozy-35-120-g-104558.html
Сыр Атон Бри с белой плесенью 50-60% мягкий 100 г,255руб/шт,100 г,Атон,https://vkusvill.ru//goods/syr-aton-bri-s-beloy-plesenyu-50-60-myagkiy-100-g-32064.html
Сыр Атон Камамбер с белой плесенью и медом 50-60% мягкий 100 г,259руб/шт,100 г,Атон,https://vkusvill.ru//goods/syr-aton-kamamber-s-beloy-plesenyu-i-medom-50-60-myagkiy-100-g-32062.html
Сыр рассольный Чизолини Чечил копченый соломка 45% 70 г,169руб/шт,70 г,ФЭГ,https://vkusvill.ru//goods/syr-rassolnyy-chizolini-chechil-kopchenyy-solomka-45-70-g-70427.html
